参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
2,0.4,0.05,0.1,0.2,0.5048617404878538,0.5570127400140967,0.9126791567147677
3,0.6,0.1,0.05,0.25,0.5049181213476592,0.5316820197020014,0.9963151412072008
4,0.8,0.1,0.1,0.3,0.505081398872632,0.6417223512268501,0.8974775667516173
3,0.9,0.1,0.05,0.3,0.5051449380990299,0.574228170999764,0.9917033549645279
2,0.7,0.1,0.05,0.2,0.5056611757235676,0.5117852976452781,0.9414995444804418
3,0.5,0.2,0.05,0.2,0.505945197443801,0.5238698053410283,1.2096584806422483
4,0.4,0.05,0.2,0.3,0.5059465731979292,0.6742126992905652,0.9255905892549265
2,0.5,0.1,0.05,0.15,0.5060316972657645,0.528588360322919,0.948858494159667
3,0.4,0.15,0.05,0.2,0.5060790262038176,0.5174063800854138,1.1848145931721996
3,0.4,0.3,0.05,0.2,0.5061515694396157,0.4271081761065494,1.4630483575960034
